CTD,20130709ODF
# REPORTED CAST DEPTH IS CTD_DEPTH + DISTANCE_ABOVE_BOTTOM AT MAX PRESSURE
NUMBER_HEADERS = 11
EXPOCODE = 318M20130321
SECT_ID = P02W
STNNBR = 35
CASTNO = 1
DATE = 20130415
TIME = 0212
LATITUDE =  30.0001
LONGITUDE =  147.7915
DEPTH =  6173
INSTRUMENT_ID = 914
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,TRANSM,TRANSM_FLAG_W,FLUORM,FLUORM_FLAG_W,CTDNOBS,CTDETIME
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,,
      2.0,2,  17.8154,2,  34.6660,2,    241.0,2,   4.3458,1,    0.040,1,       96,    619.6
      4.0,2,  17.8140,2,  34.6657,2,    240.9,2,   4.3513,1,    0.040,1,       84,    623.5
      6.0,2,  17.8155,2,  34.6656,2,    240.6,2,   4.3468,1,    0.041,1,      155,    628.5
      8.0,2,  17.8171,2,  34.6657,2,    241.2,2,   4.3518,1,    0.040,1,       72,    633.2
     10.0,2,  17.8178,2,  34.6657,2,    241.5,2,   4.3482,1,    0.040,1,      143,    637.8
     12.0,2,  17.8181,2,  34.6657,2,    241.8,2,   4.3500,1,    0.040,1,       96,    642.8
     14.0,2,  17.8159,2,  34.6657,2,    241.9,2,   4.3461,1,    0.044,1,       96,    646.8
     16.0,2,  17.8151,2,  34.6654,2,    242.1,2,   4.3456,1,    0.043,1,      130,    651.5
     18.0,2,  17.8169,2,  34.6659,2,    242.4,2,   4.3475,1,    0.042,1,       96,    656.2
     20.0,2,  17.8173,2,  34.6659,2,    242.4,2,   4.3500,1,    0.042,1,      131,    661.0
     22.0,2,  17.8120,2,  34.6658,2,    242.5,2,   4.3419,1,    0.044,1,       84,    665.5
     24.0,2,  17.8101,2,  34.6657,2,    242.6,2,   4.3382,1,    0.046,1,      108,    669.5
     26.0,2,  17.8084,2,  34.6659,2,    242.9,2,   4.3333,1,    0.049,1,      120,    674.2
     28.0,2,  17.8075,2,  34.6660,2,    243.4,2,   4.3341,1,    0.050,1,       72,    678.2
     30.0,2,  17.8053,2,  34.6655,2,    243.5,2,   4.3391,1,    0.049,1,      117,    682.3
     32.0,2,  17.7983,2,  34.6658,2,    243.2,2,   4.3514,1,    0.042,1,       71,    686.3
     34.0,2,  17.7576,2,  34.6651,2,    243.1,2,   4.3824,1,    0.034,1,      108,    690.0
     36.0,2,  17.6295,2,  34.6608,2,    241.7,2,   4.3782,1,    0.053,1,       83,    694.2
     38.0,2,  17.5858,2,  34.6581,2,    239.8,2,   4.3711,1,    0.051,1,       70,    698.8
     40.0,2,  17.5617,2,  34.6567,2,    238.2,2,   4.3757,1,    0.050,1,       96,    702.2
     42.0,2,  17.5481,2,  34.6554,2,    236.8,2,   4.3780,1,    0.054,1,      120,    706.8
     44.0,2,  17.5352,2,  34.6541,2,    236.3,2,   4.3800,1,    0.052,1,       72,    710.8
     46.0,2,  17.5273,2,  34.6538,2,    235.9,2,   4.3785,1,    0.055,1,      132,    715.0
     48.0,2,  17.5014,2,  34.6560,2,    235.9,2,   4.3819,1,    0.049,1,       60,    719.0
     50.0,2,  17.4749,2,  34.6602,2,    235.7,2,   4.3851,1,    0.044,1,       84,    722.0
     52.0,2,  17.4731,2,  34.6613,2,    235.8,2,   4.3860,1,    0.044,1,       84,    726.2
     54.0,2,  17.4702,2,  34.6627,2,    235.7,2,   4.3900,1,    0.044,1,      120,    730.8
     56.0,2,  17.4624,2,  34.6638,2,    235.8,2,   4.3910,1,    0.047,1,       83,    735.0
     58.0,2,  17.4599,2,  34.6648,2,    236.1,2,   4.3903,1,    0.046,1,      132,    739.5
     60.0,2,  17.4600,2,  34.6675,2,    235.9,2,   4.3839,1,    0.049,1,       47,    743.3
     62.0,2,  17.4587,2,  34.6685,2,    236.5,2,   4.3813,1,    0.068,1,      120,    746.8
     64.0,2,  17.4543,2,  34.6688,2,    236.2,2,   4.3839,1,    0.042,1,      108,    751.5
     66.0,2,  17.4505,2,  34.6686,2,    236.0,2,   4.3837,1,    0.058,1,       96,    755.8
     68.0,2,  17.4474,2,  34.6678,2,    235.5,2,   4.3946,1,    0.044,1,      215,    772.0
     70.0,2,  17.4427,2,  34.6687,2,    235.7,2,   4.3972,1,    0.038,1,       60,    785.5
     72.0,2,  17.4436,2,  34.6751,2,    235.2,2,   4.3954,1,    0.038,1,      132,    789.5
     74.0,2,  17.4432,2,  34.6762,2,    234.5,2,   4.3975,1,    0.035,1,       60,    793.5
     76.0,2,  17.4405,2,  34.6783,2,    234.3,2,   4.3992,1,    0.068,1,      120,    797.5
     78.0,2,  17.4358,2,  34.6813,2,    234.1,2,   4.4014,1,    0.030,1,       48,    801.2
     80.0,2,  17.4307,2,  34.6842,2,    233.8,2,   4.4055,1,    0.044,1,       84,    804.0
     82.0,2,  17.4285,2,  34.6847,2,    233.1,2,   4.4069,1,    0.033,1,      132,    808.5
     84.0,2,  17.4174,2,  34.6856,2,    233.3,2,   4.4081,1,    0.030,1,       84,    813.0
     86.0,2,  17.4071,2,  34.6914,2,    232.9,2,   4.4113,1,    0.033,1,       96,    816.8
     88.0,2,  17.3957,2,  34.6952,2,    232.6,2,   4.4135,1,    0.026,1,       96,    820.8
     90.0,2,  17.3858,2,  34.6951,2,    232.4,2,   4.4167,1,    0.025,1,      132,    825.5
     92.0,2,  17.3539,2,  34.6922,2,    232.7,2,   4.4201,1,    0.021,1,       60,    829.5
     94.0,2,  17.3517,2,  34.6925,2,    232.5,2,   4.4214,1,    0.028,1,      120,    833.2
     96.0,2,  17.3483,2,  34.6933,2,    232.4,2,   4.4227,1,    0.020,1,       96,    837.8
     98.0,2,  17.3478,2,  34.6955,2,    232.4,2,   4.4231,1,    0.019,1,       96,    841.8
    100.0,2,  17.3532,2,  34.6989,2,    231.6,2,   4.4255,1,    0.017,1,       84,    845.5
    102.0,2,  17.3615,2,  34.7036,2,    230.7,2,   4.4254,1,    0.018,1,      120,    849.8
    104.0,2,  17.3695,2,  34.7169,2,    228.8,2,   4.4307,1,    0.012,1,       70,    853.8
    106.0,2,  17.3443,2,  34.7146,2,    226.6,2,   4.4328,1,    0.012,1,       83,    857.0
    108.0,2,  17.3222,2,  34.7144,2,    226.1,2,   4.4350,1,    0.010,1,       47,    859.8
    110.0,2,  17.3141,2,  34.7179,2,    226.7,2,   4.4357,1,    0.009,1,       48,    861.8
    112.0,2,  17.3046,2,  34.7176,2,    226.3,2,   4.4379,1,    0.008,1,       72,    864.2
    114.0,2,  17.2940,2,  34.7175,2,    225.5,2,   4.4400,1,    0.007,1,       48,    866.8
    116.0,2,  17.2892,2,  34.7170,2,    225.1,2,   4.4415,1,    0.007,1,       58,    869.0
    118.0,2,  17.2843,2,  34.7172,2,    224.7,2,   4.4412,1,    0.007,1,       48,    871.2
    120.0,2,  17.2781,2,  34.7176,2,    224.9,2,   4.4426,1,    0.006,1,       48,    873.2
    122.0,2,  17.2674,2,  34.7199,2,    225.0,2,   4.4422,1,    0.007,1,       60,    875.5
    124.0,2,  17.2638,2,  34.7215,2,    224.7,2,   4.4426,1,    0.006,1,       48,    877.8
    126.0,2,  17.2660,2,  34.7243,2,    224.7,2,   4.4429,1,    0.006,1,       48,    879.8
    128.0,2,  17.2641,2,  34.7262,2,    225.3,2,   4.4437,1,    0.006,1,       60,    882.0
    130.0,2,  17.2397,2,  34.7232,2,    225.4,2,   4.4431,1,    0.006,1,       48,    884.2
